LegacyKey,MainIcon,Modifier1,Modifier2,ExtraIcon,FullFrame,Standard
I-P-SRS---,I-P-SRS---,,,,,
I-P-SRT---,I-P-SRT---,,,,,
I-P-SRU---,I-P-SRU---,,,,,
I-S-SCC---,I-S-SCC---,,,,,
I-S-SCO---,I-S-SCO---,,,,,
I-S-SCP---,I-S-SCP---,,,,,
I-S-SCS---,I-S-SCS---,,,,,
I-S-SRAA--,I-S-SRAA--,,,,,
I-S-SRAT--,I-S-SRAT--,,,,,
I-S-SRCA--,I-S-SRCA--,,,,,
I-S-SRCI--,I-S-SRCI--,,,,,
I-S-SRD---,I-S-SRD---,,,,,
I-S-SRE---,I-S-SRE---,,,,,
I-S-SRF---,I-S-SRF---,,,,,
I-S-SRH---,I-S-SRH---,,,,,
I-S-SRI---,I-S-SRI---,,,,,
I-S-SRMA--,I-S-SRMA--,,,,,
I-S-SRMF--,I-S-SRMF--,,,,,
I-S-SRMG--,I-S-SRMG--,,,,,
I-S-SRMM--,I-S-SRMM--,,,,,
I-S-SRMT--,I-S-SRMT--,,,,,
I-S-SRS---,I-S-SRS---,,,,,
I-S-SRTA--,I-S-SRTA--,,,,,
I-S-SRTI--,I-S-SRTI--,,,,,
I-S-SRTT--,I-S-SRTT--,,,,,
I-S-SRU---,I-S-SRU---,,,,,
I-U-SCO---,I-U-SCO---,,,,,
I-U-SCP---,I-U-SCP---,,,,,
I-U-SCS---,I-U-SCS---,,,,,
I-U-SRD---,I-U-SRD---,,,,,
I-U-SRE---,I-U-SRE---,,,,,
I-U-SRM---,I-U-SRM---,,,,,
I-U-SRS---,I-U-SRS---,,,,,
I-U-SRT---,I-U-SRT---,,,,,
I-U-SRU---,I-U-SRU---,,,,,
O-G-------,11110400,,,,,
O-G-A-----,11110400,11091,,,,
O-G-B-----,11110400,11141,,,,
O-G-C-----,O-G-C-----,,,,,
O-G-D-----,11110400,11171,,,,
O-G-E-----,11110400,11101,,,,
O-G-F-----,11110400,11111,,,,
O-I-D-----,15160900,,,,,
O-I-F-----,40131513,,,,,
O-I-G-----,40110107,,,,,
O-I-I-----,15160800,,,,,
O-I-R-----,11110400,,,,,
O-I-S-----,20111700,,,,,
O-I-V-----,40110114,,,,,
O-L-B-----,20110500,,,,,
O-L-G-----,20111000,,,,,
O-L-M-----,O-L-M-----,,,,,
O-L-W-----,20111800,,,,,
O-O-A-----,40110101,,,,,
O-O-C-----,11110900,,,,,
O-O-CA----,11110900,11221,,,,
O-O-CB----,11110900,11211,,,,
O-O-CC----,11110900,11231,,,,
O-O-D-----,40120100,,,,,
O-O-E-----,40110106,,,,,
O-O-F-----,40130300,,,,,
O-O-HA----,40160100,40031,,,,
O-O-HT----,40160400,40031,,,,
O-O-HV----,40160200,40031,,,,
O-O-K-----,11110300,11051,,,,
O-O-KA----,40110103,40051,,,,
O-O-M-----,40130500,,,,,
O-O-O-----,40131202,,,,TRUE,
O-O-P-----,40130100,,,,,
O-O-RC----,40130402,,,,,
O-O-RW----,40130401,,,,,
O-O-S-----,40130600,,,,,
O-O-U-----,40110105,,,,,
O-O-Y-----,40130200,,,,,
O-O-YH----,40130200,40041,,,,
O-O-YT----,40130201,,,,TRUE,
O-O-YW----,40130200,40091,,,,
O-P-------,11110300,,,,,
O-P-A-----,11110300,11131,,,,
O-P-B-----,11110300,11181,,,,
O-P-C-----,11110300,11191,,,,
O-P-F-----,40110304,,,,,
O-R-------,11110300,11071,,,,
O-R-A-----,40110103,40081,,,,
O-V-A-----,40110102,,,,,C
O-V-A-----,O-V-A-----,,,,,B2
O-V-B-----,40110200,,,,,
O-V-D-----,40110104,,,,,
O-V-E-----,40110600,,,,,
O-V-EI----,40110301,,,,,
O-V-M-----,40110108,,,,,
O-V-MA----,40110108,40061,,,,
O-V-MB----,40110108,40021,,,,
O-V-MC----,40110108,40011,,,,
O-V-P-----,40110109,,,,,
O-V-S-----,40110401,,,,,
O-V-Y-----,40110111,,,,,
S-A-C-----,01120000,,,,,
S-A-CF----,01120100,,,,,
S-A-CH----,S-A-CH----,,,,,
S-A-CL----,01120400,,,,,
S-A-M-----,01110000,,,,,
S-A-ME----,01110132,,,,,C
S-A-MF----,01110100,,,,,
S-A-MFA---,01110102,,,,,
S-A-MFB---,01110103,,,,,
S-A-MFC---,01110107,,,,,
S-A-MFCH--,01110107,,01012,,,
S-A-MFCL--,01110107,,01032,,,
S-A-MFCM--,01110107,,01022,,,
S-A-MFD---,S-A-MFD---,,,,,
S-A-MFF---,01110104,,,,,
S-A-MFFI--,S-A-MFFI--,,,,,
S-A-MFH---,S-A-MFH---,,,,,
S-A-MFJ---,01110108,,,,,
S-A-MFK---,01110109,,,,,
S-A-MFKB--,S-A-MFKB--,,,,,
S-A-MFKD--,S-A-MFKD--,,,,,
S-A-MFL---,S-A-MFL---,,,,,
S-A-MFM---,01110126,,,,,
S-A-MFO---,01110101,,,,,
S-A-MFP---,01110110,,,,,
S-A-MFPM--,01110123,,,,,
S-A-MFPN--,S-A-MFPN--,,,,,
S-A-MFQ---,01110300,,,,,
S-A-MFQA--,01110300,01011,,,,
S-A-MFQB--,01110300,01021,,,,
S-A-MFQC--,01110300,01031,,,,
S-A-MFQD--,S-A-MFQD--,,,,,
S-A-MFQF--,01110300,01041,,,,
S-A-MFQH--,S-A-MFQH--,,,,,
S-A-MFQI--,01110300,01251,,,,
S-A-MFQJ--,01110300,01161,,,,
S-A-MFQK--,01110300,01061,,,,
S-A-MFQL--,S-A-MFQL--,,,,,
S-A-MFQM--,01110300,01271,,,,
S-A-MFQN--,S-A-MFQN--,,,,,
S-A-MFQO--,01110300,01141,,,,
S-A-MFQP--,01110300,01171,,,,
S-A-MFQR--,01110300,01181,,,,
S-A-MFQRW-,S-A-MFQRW-,,,,,
S-A-MFQRX-,S-A-MFQRX-,,,,,
S-A-MFQRZ-,S-A-MFQRZ-,,,,,
S-A-MFQS--,S-A-MFQS--,,,,,
S-A-MFQT--,01110300,01191,,,,
S-A-MFQU--,01110300,01071,,,,
S-A-MFQY--,S-A-MFQY--,,,,,
S-A-MFR---,01110111,,,,,
S-A-MFRW--,S-A-MFRW--,,,,,
S-A-MFRX--,S-A-MFRX--,,,,,
S-A-MFRZ--,S-A-MFRZ--,,,,,
S-A-MFS---,S-A-MFS---,,,,,
S-A-MFT---,01110112,,,,,
S-A-MFU---,01110113,,,,,
S-A-MFUH--,01110113,,01012,,,
S-A-MFUL--,01110113,,01032,,,
S-A-MFUM--,01110113,,01022,,,
S-A-MFY---,S-A-MFY---,,,,,
S-A-MH----,01110200,,,,,
S-A-MHA---,01110200,01011,,,,
S-A-MHC---,01110200,01031,,,,
S-A-MHCH--,01110200,01031,01012,,,
S-A-MHCL--,01110200,01031,01032,,,
S-A-MHCM--,01110200,01031,01022,,,
S-A-MHD---,S-A-MHD---,,,,,
S-A-MHH---,S-A-MHH---,,,,,
S-A-MHI---,01110200,01251,,,,
S-A-MHJ---,01110200,01161,,,,
S-A-MHK---,01110200,01061,,,,
S-A-MHM---,01110200,01271,,,,
S-A-MHO---,01110200,01141,,,,
S-A-MHQ---,01110400,,,,,
S-A-MHR---,01110200,01181,,,,
S-A-MHS---,S-A-MHS---,,,,,
S-A-MHT---,01110200,01191,,,,
S-A-MHU---,01110200,01071,,,,
S-A-MHUH--,01110200,01071,01012,,,
S-A-MHUL--,01110200,01071,01032,,,
S-A-MHUM--,01110200,01071,01022,,,
S-A-ML----,01110500,,,,,
S-A-MV----,01110129,,,,,C
S-A-W-----,S-A-W-----,,,,,
S-A-WB----,01130100,,,,,
S-A-WD----,S-A-WD----,,,,,
S-A-WM----,02110000,,,,,
S-A-WM----,02110000,,02052,,,
S-A-WMA---,02110000,02011,02052,,,
S-A-WMAA--,02110000,02011,02012,,,
S-A-WMAP--,S-A-WMAP--,,,,,
S-A-WMAS--,02110000,02011,02022,,,
S-A-WMB---,02110000,02061,02062,,,
S-A-WMCM--,02110000,02071,02062,,,
S-A-WMS---,02110000,02021,02052,,,
S-A-WMSA--,02110000,02021,02012,,,
S-A-WMSB--,S-A-WMSB--,,,,,
S-A-WMSS--,02110000,02021,02022,,,
S-A-WMSU--,S-A-WMSU--,,,,,
S-A-WMU---,S-A-WMU---,,,,,
S-F-------,10121800,,,,,
S-F-A-----,10120600,10631,,,,
S-F-AF----,10120800,10631,,,,
S-F-AFA---,10120800,10631,10542,,,
S-F-AFK---,10120800,10631,10552,,,
S-F-AFU---,10120800,10631,10562,,,
S-F-AFUH--,10120800,10631,10152,,,
S-F-AFUL--,10120800,10631,10192,,,
S-F-AFUM--,10120800,10631,10242,,,
S-F-AH----,S-F-AH----,,,,,
S-F-AHA---,10120600,10631,10542,,,
S-F-AHH---,10120600,10631,10572,,,
S-F-AHU---,10120600,10631,10562,,,
S-F-AHUH--,10120600,10631,10152,,,
S-F-AHUL--,10120600,10631,10192,,,
S-F-AHUM--,10120600,10631,10242,,,
S-F-AV----,10120800,10631,10492,,,
S-F-B-----,S-F-B-----,,,,,
S-F-G-----,10121802,,,,TRUE,
S-F-GC----,10110200,,,,,
S-F-GP----,40130200,,,,,
S-F-GPA---,10121801,,,,,
S-F-GR----,10121100,10521,10012,,TRUE,
S-F-GS----,10121700,,,,,
S-F-N-----,10170100,10631,,,,
S-F-NB----,10121803,,,,,
S-F-NN----,10121804,,,,,
S-F-NS----,10121400,,,,,
S-F-NU----,10121805,,,,,
S-G-ES----,15220100,,,,,
S-G-ESE---,15220200,,,,,
S-G-ESR---,15220300,,,,,
S-G-EV----,15120000,,,,,
S-G-EVA---,15120100,,,,,
S-G-EVAA--,15120103,,,,,
S-G-EVAAR-,15120108,,,,,
S-G-EVAC--,S-G-EVAC--,,,,,
S-G-EVAI--,15120101,,,,,
S-G-EVAL--,15120110,,,,,
S-G-EVAS--,15120109,,,,,
S-G-EVAT--,15120200,,,,,
S-G-EVATH-,15120203,,,,,
S-G-EVATHR,15120303,,,,,
S-G-EVATL-,15120201,,,,,
S-G-EVATLR,15120301,,,,,
S-G-EVATM-,15120202,,,,,
S-G-EVATMR,15120302,,,,,
S-G-EVC---,S-G-EVC---,,,,,
S-G-EVCA--,15160100,,,,,
S-G-EVCAH-,15160103,,,,,
S-G-EVCAL-,15160101,,,,,
S-G-EVCAM-,15160102,,,,,
S-G-EVCF--,15160700,,,,,
S-G-EVCFH-,15160703,,,,,
S-G-EVCFL-,S-G-EVCFL-,,,,,
S-G-EVCFM-,15160702,,,,,
S-G-EVCJ--,15160500,,,,,
S-G-EVCJH-,15160503,,,,,
S-G-EVCJL-,15160501,,,,,
S-G-EVCJM-,15160502,,,,,
S-G-EVCM--,15160300,,,,,
S-G-EVCMH-,15160303,,,,,
S-G-EVCML-,15160301,,,,,
S-G-EVCMM-,15160302,,,,,
S-G-EVCO--,15160200,,,,,
S-G-EVCOH-,15160203,,,,,
S-G-EVCOL-,15160201,,,,,
S-G-EVCOM-,15160202,,,,,
S-G-EVCT--,15160600,,,,,
S-G-EVCTH-,15160603,,,,,
S-G-EVCTL-,15160601,,,,,
S-G-EVCTM-,15160602,,,,,
S-G-EVCU--,15160400,,,,,
S-G-EVCUH-,15160403,,,,,
S-G-EVCUL-,15160401,,,,,
S-G-EVCUM-,15160402,,,,,
S-G-EVE---,15130000,,,,,
S-G-EVEA--,15130900,,,,,
S-G-EVEAA-,15130902,,,,,
S-G-EVEAT-,15130901,,,,,
S-G-EVEB--,S-G-EVEB--,,,,,
S-G-EVEC--,15131500,,,,,
S-G-EVED--,15131100,,,,,
S-G-EVEDA-,15131101,,,,,
S-G-EVEE--,15130800,,,,,
S-G-EVEF--,15131600,,,,,
S-G-EVEH--,15131400,,,,,
S-G-EVEM--,S-G-EVEM--,,,,,
S-G-EVEML-,15131003,,,,,
S-G-EVEMV-,15131002,,,,,
S-G-EVER--,15131300,,,,,
S-G-EVES--,15131200,,,,,
S-G-EVM---,15180000,,,,,
S-G-EVS---,15190000,,,,,
S-G-EVSC--,15190300,,,,,
S-G-EVSP--,15190400,,,,,
S-G-EVSR--,15190200,,,,,
S-G-EVST--,15190100,,,,,
S-G-EVSW--,15190500,,,,,
S-G-EVT---,15150100,,,,,
S-G-EVU---,15140100,,,,,
S-G-EVUA--,15140300,,,,,
S-G-EVUAA-,15120104,,,,,
S-G-EVUB--,15140500,,,,,
S-G-EVUL--,15140700,,,,,
S-G-EVUR--,15141100,,,,,
S-G-EVUS--,15140600,,,,,
S-G-EVUSH-,15140603,,,,,
S-G-EVUSL-,15140601,,,,,
S-G-EVUSM-,15140602,,,,,
S-G-EVUT--,15141200,,,,,
S-G-EVUTH-,15141202,,,,,
S-G-EVUTL-,15141201,,,,,
S-G-EVUX--,15140800,,,,,
S-G-EWA---,15110500,,,,,
S-G-EWAH--,15110503,,,,,
S-G-EWAL--,15110501,,,,,
S-G-EWAM--,15110502,,,,,
S-G-EWD---,15110700,,,,,
S-G-EWDH--,15110703,,,,,
S-G-EWDHS-,S-G-EWDHS-,,,,,
S-G-EWDL--,15110701,,,,,
S-G-EWDLS-,S-G-EWDLS-,,,,,
S-G-EWDM--,15110702,,,,,
S-G-EWDMS-,S-G-EWDMS-,,,,,
S-G-EWG---,15110600,,,,,
S-G-EWGH--,15110603,,,,,
S-G-EWGL--,15110601,,,,,
S-G-EWGM--,15110602,,,,,
S-G-EWGR--,15110800,,,,,
S-G-EWH---,15110900,,,,,
S-G-EWHH--,15110903,,,,,
S-G-EWHHS-,S-G-EWHHS-,,,,,
S-G-EWHL--,15110901,,,,,
S-G-EWHLS-,S-G-EWHLS-,,,,,
S-G-EWHM--,15110902,,,,,
S-G-EWHMS-,S-G-EWHMS-,,,,,
S-G-EWM---,15111000,,,,,
S-G-EWMA--,S-G-EWMA--,,,,,
S-G-EWMAI-,15111104,,,,,
S-G-EWMAIE,15111106,,,,,
S-G-EWMAIR,15111105,,,,,
S-G-EWMAL-,15111107,,,,,
S-G-EWMALE,15111109,,,,,
S-G-EWMALR,15111108,,,,,
S-G-EWMAS-,15111101,,,,,
S-G-EWMASE,15111103,,,,,
S-G-EWMASR,15111102,,,,,
S-G-EWMAT-,S-G-EWMAT-,,,,,
S-G-EWMATE,S-G-EWMATE,,,,,
S-G-EWMATR,S-G-EWMATR,,,,,
S-G-EWMS--,15111300,,,,,
S-G-EWMSI-,15111302,,,,,
S-G-EWMSL-,15111303,,,,,
S-G-EWMSS-,15111301,,,,,
S-G-EWMT--,15111200,,,,,
S-G-EWMTH-,15111203,,,,,
S-G-EWMTL-,15111201,,,,,
S-G-EWMTM-,15111202,,,,,
S-G-EWO---,15111400,,,,,
S-G-EWOH--,15111403,,,,,
S-G-EWOL--,15111401,,,,,
S-G-EWOM--,15111402,,,,,
S-G-EWR---,15110100,,,,,
S-G-EWRH--,15110103,,,,,
S-G-EWRL--,15110102,,,,,
S-G-EWRR--,15110101,,,,,
S-G-EWS---,15111500,,,,,
S-G-EWSH--,15111503,,,,,
S-G-EWSL--,15111501,,,,,
S-G-EWSM--,15111502,,,,,
S-G-EWT---,15111700,,,,,
S-G-EWTH--,15111703,,,,,
S-G-EWTL--,15111701,,,,,
S-G-EWTM--,15111702,,,,,
S-G-EWX---,15111600,,,,,
S-G-EWXH--,15111603,,,,,
S-G-EWXL--,15111601,,,,,
S-G-EWXM--,15111602,,,,,
S-G-EWZ---,15110300,,,,,
S-G-EWZH--,15110303,,,,,
S-G-EWZL--,15110301,,,,,
S-G-EWZM--,15110302,,,,,
S-G-EXF---,15110400,,,,,
S-G-EXI---,15210400,,,,,
S-G-EXL---,15201000,,,,,
S-G-EXM---,S-G-EXM---,,,,,
S-G-EXMC--,15210200,,,,,
S-G-EXML--,15210500,,,,,
S-G-EXN---,15200400,,,,,
S-G-IB----,20120802,,,,,
S-G-IBA---,20121301,,,,,
S-G-IBN---,S-G-IBN---,,,,,
S-G-IE----,20110800,,,,,
S-G-IG----,20110900,,,,,
S-G-IMA---,20110100,,,,,
S-G-IMC---,20110600,,20012,,,
S-G-IME---,20110200,,,,,
S-G-IMF---,S-G-IMF---,,,,,
S-G-IMFA--,S-G-IMF---,,20052,,,
S-G-IMFP--,S-G-IMF---,,20062,,,
S-G-IMFPW-,S-G-IMFPW-,,,,,
S-G-IMFS--,S-G-IMF---,,20072,,,
S-G-IMG---,20110400,,,,,
S-G-IMM---,20111400,,,,,
S-G-IMN---,20110700,,,,,
S-G-IMNB--,20110701,,,,,
S-G-IMS---,S-G-IMS---,,,,,
S-G-IMV---,20121306,,,,,
S-G-IP----,S-G-IP----,,,,,
S-G-IPD---,S-G-IPD---,,,,,
S-G-IR----,S-G-IR----,,,,,
S-G-IRM---,20111300,,,,,
S-G-IRN---,20110600,,,,,
S-G-IRNB--,20110600,20011,,,,
S-G-IRNC--,20110600,20021,,,,
S-G-IRNN--,20110600,20031,,,,
S-G-IRP---,20120505,,,,,
S-G-IT----,20121300,,,,,
S-G-IU----,S-G-IU----,,,,,
S-G-IUE---,20120500,,,,,
S-G-IUED--,S-G-IUED--,,,,,
S-G-IUEF--,S-G-IUEF--,,,,,
S-G-IUEN--,S-G-IUEN--,,,,,
S-G-IUP---,20121410,,,,,
S-G-IUR---,S-G-IUR---,,,,,
S-G-IUT---,S-G-IUT---,,,,,
S-G-IX----,20120701,,,,TRUE,
S-G-IXH---,20120702,,,,TRUE,
S-G-UC----,10120900,,,,,
S-G-UCA---,10120500,,,,,
S-G-UCAA--,10120400,,,,TRUE,
S-G-UCAAA-,10120401,,,,TRUE,
S-G-UCAAAS,S-G-UCAAAS,,,,TRUE,
S-G-UCAAAT,10120401,,,,TRUE,
S-G-UCAAAW,10120401,,10512,,TRUE,
S-G-UCAAC-,10120400,,10022,,TRUE,
S-G-UCAAD-,10120400,,,,TRUE,
S-G-UCAAL-,10120400,,10192,,TRUE,
S-G-UCAAM-,10120400,,10012,,TRUE,
S-G-UCAAO-,10120402,,,,TRUE,
S-G-UCAAOS,10120402,10011,,,TRUE,
S-G-UCAAS-,S-G-UCAAS-,,,,TRUE,
S-G-UCAAU-,10120400,,10272,,TRUE,
S-G-UCAT--,10120500,,,,,
S-G-UCATA-,10120500,,10012,,,
S-G-UCATH-,10120500,,10152,,,
S-G-UCATL-,10120500,,10192,,,
S-G-UCATM-,10120500,,10242,,,
S-G-UCATR-,10120500,,10382,,,
S-G-UCATW-,10120502,,,,TRUE,
S-G-UCATWR,10120502,,10382,,TRUE,
S-G-UCAW--,10120500,,10512,,,
S-G-UCAWA-,S-G-UCAWA-,,,,,
S-G-UCAWH-,S-G-UCAWH-,,,,,
S-G-UCAWL-,S-G-UCAWL-,,,,,
S-G-UCAWM-,S-G-UCAWM-,,,,,
S-G-UCAWR-,S-G-UCAWR-,,,,,
S-G-UCAWS-,S-G-UCAWS-,,,,TRUE,
S-G-UCAWW-,10120502,,10512,,TRUE,
S-G-UCAWWR,S-G-UCAWWR,,,,TRUE,
S-G-UCD---,10130100,,,,TRUE,
S-G-UCDC--,S-G-UCDC--,,,,TRUE,
S-G-UCDG--,S-G-UCDG--,,,,TRUE,
S-G-UCDH--,S-G-UCDH--,,,,TRUE,
S-G-UCDHH-,S-G-UCDHH-,,,,TRUE,
S-G-UCDHP-,S-G-UCDHP-,,,,TRUE,
S-G-UCDM--,10130102,,,,TRUE,
S-G-UCDMH-,S-G-UCDMH-,,,,TRUE,
S-G-UCDML-,S-G-UCDML-,,,,TRUE,
S-G-UCDMLA,S-G-UCDMLA,,,,TRUE,
S-G-UCDMM-,S-G-UCDMM-,,,,TRUE,
S-G-UCDO--,S-G-UCDO--,,,,TRUE,
S-G-UCDS--,S-G-UCDS--,,,,TRUE,
S-G-UCDSC-,S-G-UCDSC-,,,,TRUE,
S-G-UCDSS-,S-G-UCDSS-,,,,TRUE,
S-G-UCDSV-,S-G-UCDSV-,,,,TRUE,
S-G-UCDT--,S-G-UCDT--,,,,TRUE,
S-G-UCE---,10140700,,,,,
S-G-UCEC--,10140700,10091,,,,
S-G-UCECA-,10140700,,10012,,,
S-G-UCECC-,10140700,,10022,,,
S-G-UCECH-,10140700,10091,10152,,,
S-G-UCECL-,10140700,10091,10192,,,
S-G-UCECM-,10140700,10091,10242,,,
S-G-UCECO-,10140700,10091,10272,,,
S-G-UCECR-,10140703,,,,TRUE,
S-G-UCECS-,10140700,10011,,,,
S-G-UCECT-,10140701,,,,,
S-G-UCECW-,10140702,,,,TRUE,
S-G-UCEN--,10140700,10121,,,,
S-G-UCENN-,10140700,10461,,,,
S-G-UCF---,10130300,,,,,
S-G-UCFH--,S-G-UCFH--,,,,,
S-G-UCFHA-,10130300,,10012,,,
S-G-UCFHC-,10130300,,10022,,,
S-G-UCFHE-,10130301,,,,,
S-G-UCFHH-,10130300,,10152,,,
S-G-UCFHL-,10130300,,10192,,,
S-G-UCFHM-,10130300,,10242,,,
S-G-UCFHO-,10130300,,10272,,,
S-G-UCFHS-,10130300,10011,,,,
S-G-UCFHX-,S-G-UCFHX-,,,,TRUE,
S-G-UCFM--,10130800,,,,,
S-G-UCFML-,S-G-UCFML-,,,,TRUE,
S-G-UCFMS-,10130801,,,,,
S-G-UCFMT-,10130803,,,,,
S-G-UCFMTA,10130803,,10012,,,
S-G-UCFMTC,10130800,,10022,,,
S-G-UCFMTO,10130803,,10272,,,
S-G-UCFMTS,10130803,10011,,,,
S-G-UCFMW-,10130802,,,,,
S-G-UCFO--,10130600,,,,,
S-G-UCFOA-,10130600,,10012,,,
S-G-UCFOL-,10130600,,10192,,,
S-G-UCFOO-,10130600,,10272,,,
S-G-UCFOS-,10130600,10011,,,,
S-G-UCFR--,S-G-UCFR--,,,,,
S-G-UCFRM-,10130300,10411,,,,
S-G-UCFRMR,S-G-UCFRMR,,,,,
S-G-UCFRMS,10130301,10411,,,,
S-G-UCFRMT,S-G-UCFRMT,,,,TRUE,
S-G-UCFRS-,10130300,10591,,,,
S-G-UCFRSR,S-G-UCFRSR,,,,,
S-G-UCFRSS,10130301,10591,,,,
S-G-UCFRST,10130300,10591,10472,,,
S-G-UCFS--,S-G-UCFS--,,,,,
S-G-UCFSA-,S-G-UCFSA-,,,,,
S-G-UCFSL-,S-G-UCFSL-,,,,,
S-G-UCFSO-,S-G-UCFSO-,,,,,
S-G-UCFSS-,S-G-UCFSS-,,,,,
S-G-UCFT--,S-G-UCFT--,,,,,
S-G-UCFTA-,10130200,,,,TRUE,
S-G-UCFTC-,S-G-UCFTC-,,,,TRUE,
S-G-UCFTCD,S-G-UCFTCD,,,,TRUE,
S-G-UCFTCM,10130302,,,,TRUE,
S-G-UCFTF-,S-G-UCFTF-,,,,,
S-G-UCFTR-,S-G-UCFTR-,,,,,
S-G-UCFTS-,S-G-UCFTS-,,,,TRUE,
S-G-UCI---,10121100,,,,TRUE,
S-G-UCIA--,10121100,,10012,,TRUE,
S-G-UCIC--,10121100,,10022,,TRUE,
S-G-UCII--,10121105,,,,TRUE,
S-G-UCIL--,10121100,,10192,,TRUE,
S-G-UCIM--,10121104,,,,TRUE,
S-G-UCIN--,S-G-UCIN--,,,,TRUE,
S-G-UCIO--,10121100,,10272,,TRUE,
S-G-UCIS--,10121100,10011,,,TRUE,
S-G-UCIZ--,10121102,,,,TRUE,
S-G-UCM---,S-G-UCM---,,,,,
S-G-UCMS--,S-G-UCMS--,,,,,
S-G-UCMT--,S-G-UCMT--,,,,,
S-G-UCR---,10121300,,,,TRUE,
S-G-UCRA--,10121300,,10012,,TRUE,
S-G-UCRC--,10121300,,10022,,TRUE,
S-G-UCRH--,S-G-UCRH--,,,,TRUE,
S-G-UCRL--,10121300,,10192,,TRUE,
S-G-UCRO--,10121300,,10272,,TRUE,
S-G-UCRR--,10121302,,,,TRUE,
S-G-UCRRD-,S-G-UCRRD-,,,,TRUE,
S-G-UCRRF-,10121302,10261,,,TRUE,
S-G-UCRRL-,S-G-UCRRL-,,,,TRUE,
S-G-UCRS--,10121300,10011,,,TRUE,
S-G-UCRV--,S-G-UCRV--,,,,TRUE,
S-G-UCRVA-,10120501,,,,TRUE,
S-G-UCRVG-,10121300,,,,TRUE,
S-G-UCRVM-,10121303,,,,TRUE,
S-G-UCRVO-,10120601,,,,TRUE,
S-G-UCRX--,S-G-UCRX--,,,,TRUE,
S-G-UCS---,10141700,,,,,
S-G-UCSA--,10120600,10541,,,,
S-G-UCSG--,10141700,,,,,
S-G-UCSGA-,10141701,,,,,
S-G-UCSGD-,S-G-UCSGD-,,,,TRUE,
S-G-UCSGM-,10141702,,,,TRUE,
S-G-UCSM--,10141701,,10512,,,
S-G-UCSR--,10141700,,10362,,,
S-G-UCSW--,S-G-UCSW--,,,,TRUE,
S-G-UCV---,10120600,,,,,
S-G-UCVC--,S-G-UCVC--,,,,TRUE,
S-G-UCVF--,10120800,,,,,
S-G-UCVFA-,10120800,10031,,,,
S-G-UCVFR-,S-G-UCVFR-,,,,TRUE,
S-G-UCVFU-,10120800,10691,,,,
S-G-UCVR--,S-G-UCVR--,,,,,
S-G-UCVRA-,10120600,10031,,,,
S-G-UCVRM-,10120600,10331,,,,
S-G-UCVRS-,S-G-UCVRS-,,,,,
S-G-UCVRU-,10120600,10691,,,,
S-G-UCVRUC,S-G-UCVRUC,,,,,
S-G-UCVRUE,10120600,10751,,,,
S-G-UCVRUH,10120600,10691,10152,,,
S-G-UCVRUL,10120600,10691,10192,,,
S-G-UCVRUM,10120600,10691,10242,,,
S-G-UCVRW-,10120600,10741,,,,
S-G-UCVS--,S-G-UCVS--,,,,,
S-G-UCVU--,10121900,,,,,
S-G-UCVUF-,10120800,10011,,,,
S-G-UCVUR-,10120600,10011,,,,
S-G-UCVV--,S-G-UCVV--,,,,,
S-G-UH----,S-G-UH----,,,,TRUE,
S-G-US----,10160600,,,,,
S-G-USA---,10160100,,,,,
S-G-USAC--,10160100,,,10XXXX97,,
S-G-USAF--,10160700,,,,,
S-G-USAFC-,10160700,,,10XXXX97,,
S-G-USAFT-,10160700,,,10XXXX98,,
S-G-USAJ--,10160800,,,,,
S-G-USAJC-,10160800,,,10XXXX97,,
S-G-USAJT-,10160800,,,10XXXX98,,
S-G-USAL--,10160900,,,,,
S-G-USALC-,10160900,,,10XXXX97,,
S-G-USALT-,10160900,,,10XXXX98,,
S-G-USAM--,10161600,,,,,
S-G-USAMC-,10161600,,,10XXXX97,,
S-G-USAMT-,10161600,,,10XXXX98,,
S-G-USAO--,10162700,,,,,
S-G-USAOC-,10162700,,,10XXXX97,,
S-G-USAOT-,10162700,,,10XXXX98,,
S-G-USAP--,10162800,,,,,
S-G-USAPB-,10164900,,,,,
S-G-USAPBC,10164900,,,10XXXX97,,
S-G-USAPBT,10164900,,,10XXXX98,,
S-G-USAPC-,10162800,,,10XXXX97,,
S-G-USAPM-,10163500,,,,,
S-G-USAPMC,10163500,,,10XXXX97,,
S-G-USAPMT,10163500,,,10XXXX98,,
S-G-USAPT-,10162800,,,10XXXX98,,
S-G-USAQ--,S-G-USAQ--,,,,,
S-G-USAQC-,S-G-USAQC-,,,,TRUE,
S-G-USAQT-,S-G-USAQT-,,,,TRUE,
S-G-USAR--,10163100,,,,,
S-G-USARC-,10163100,,,10XXXX97,,
S-G-USART-,10163100,,,10XXXX98,,
S-G-USAS--,10162400,,,,,
S-G-USASC-,10162400,,,10XXXX97,,
S-G-USAST-,10162400,,,10XXXX98,,
S-G-USAT--,10160100,,,10XXXX98,,
S-G-USAW--,10161500,,,,,
S-G-USAWC-,10161500,,,10XXXX97,,
S-G-USAWT-,10161500,,,10XXXX98,,
S-G-USAX--,10163200,,,,,
S-G-USAXC-,10163200,,,10XXXX97,,
S-G-USAXT-,10163200,,,10XXXX98,,
S-G-USM---,10161300,,,,TRUE,
S-G-USMC--,10161300,,,10XXXX97,TRUE,
S-G-USMD--,10161300,,10112,,TRUE,
