LegacyKey,MainIcon,Modifier1,Modifier2,ExtraIcon,FullFrame,Standard
E-O-DFC---,20112103,,,,,C
E-O-DG----,40131504,,,,,C
E-O-DGA---,10200400,,,,,C
E-O-DGB---,15170400,,,,,C
E-O-DGC---,20112104,,,,,C
E-O-DH----,40131505,,,,,C
E-O-DHA---,10200500,,,,,C
E-O-DHB---,15170500,,,,,C
E-O-DHC---,20112105,,,,,C
E-O-DI----,40131506,,,,,C
E-O-DIA---,10200600,,,,,C
E-O-DIB---,15170600,,,,,C
E-O-DIC---,20112106,,,,,C
E-O-DJ----,40131507,,,,,C
E-O-DJB---,15170700,,,,,C
E-O-DJC---,20112107,,,,,C
E-O-DK----,40131508,,,,,C
E-O-DL----,40131509,,,,,C
E-O-DLA---,10200900,,,,,C
E-O-DLB---,15170800,,,,,C
E-O-DLC---,20112109,,,,,C
E-O-DM----,40131510,,,,,C
E-O-DMA---,10201000,,,,,C
E-O-DMB---,15170900,,,,,C
E-O-DMC---,20112110,,,,,C
E-O-DN----,40131511,,,,,C
E-O-DNA---,10201100,,,,,C
E-O-DNC---,20112111,,,,,C
E-O-DO----,40131512,,,,,C
E-O-DOA---,10201200,,,,,C
E-O-DOB---,15171100,,,,,C
E-O-DOC---,20112112,,,,,C
E-O-EA----,15220100,15011,,,,C
E-O-EB----,15220100,15021,,,,C
E-O-EC----,15220100,15041,,,,C
E-O-ED----,15220100,15051,,,,C
E-O-EE----,15220100,15061,,,,C
G-F-ACAC--,25240103,,,,,
G-F-ACAI--,25240101,,,,,
G-F-ACAR--,25240102,,,,,
G-F-ACBC--,25241703,,,,,C
G-F-ACBI--,25241701,,,,,C
G-F-ACBR--,25241702,,,,,C
G-F-ACDC--,25241503,,,,,C
G-F-ACDI--,25241501,,,,,C
G-F-ACDR--,25241502,,,,,C
G-F-ACEC--,25241603,,,,,C
G-F-ACEI--,25241601,,,,,C
G-F-ACER--,25241602,,,,,C
G-F-ACFC--,25240203,,,,,
G-F-ACFI--,25240201,,,,,
G-F-ACFR--,25240202,,,,,
G-F-ACNC--,25240303,,,,,
G-F-ACNI--,25240301,,,,,
G-F-ACNR--,25240302,,,,,
G-F-ACPC--,25240502,,,,,
G-F-ACPR--,25240501,,,,,
G-F-ACRC--,25240403,,,,,
G-F-ACRI--,25240401,,,,,
G-F-ACRR--,25240402,,,,,
G-F-ACSC--,25241003,,,,,
G-F-ACSI--,25241001,,,,,
G-F-ACSR--,25241002,,,,,
G-F-ACT---,25242000,,,,,C
G-F-ACVC--,25241803,,,,,C
G-F-ACVI--,25241801,,,,,C
G-F-ACVR--,25241802,,,,,C
G-F-ACZC--,25241903,,,,,C
G-F-ACZI--,25241901,,,,,C
G-F-ACZR--,25241902,,,,,C
G-F-AKBC--,25242303,,,,,C
G-F-AKBI--,25242301,,,,,C
G-F-AKBR--,25242302,,,,,C
G-F-AKPC--,25242306,,,,,C
G-F-AKPI--,25242304,,,,,C
G-F-AKPR--,25242305,,,,,C
G-F-AT----,25240801,,,,,
G-F-ATB---,25240808,,,,,
G-F-ATC---,25240803,,,,,
G-F-ATG---,25240805,,,,,
G-F-ATR---,25240802,,,,,
G-F-ATS---,25240806,,,,,
G-F-AXC---,25242100,,,,,
G-F-AXS---,25242200,,,,,
G-F-AZBC--,25241703,,,,,B2
G-F-AZBI--,25241701,,,,,B2
G-F-AZBR--,25241702,,,,,B2
G-F-AZCC--,25241303,,,,,B2
G-F-AZCI--,25241301,,,,,
G-F-AZCR--,25241302,,,,,
G-F-AZDC--,25241503,,,,,B2
G-F-AZDI--,25241501,,,,,B2
G-F-AZDR--,25241502,,,,,B2
G-F-AZFC--,25241403,,,,TRUE,B2
G-F-AZFI--,25241401,,,,,
G-F-AZFR--,25241402,,,,,
G-F-AZIC--,25241103,,,,,B2
G-F-AZII--,25241101,,,,,
G-F-AZIR--,25241102,,,,,
G-F-AZSC--,25241603,,,,,B2
G-F-AZSI--,25241601,,,,,B2
G-F-AZSR--,25241602,,,,,B2
G-F-AZVC--,25241803,,,,,B2
G-F-AZVI--,25241801,,,,,B2
G-F-AZVR--,25241802,,,,,B2
G-F-AZXC--,25241203,,,,,B2
G-F-AZXI--,25241201,,,,,
G-F-AZXR--,25241202,,,,,
G-F-AZZC--,25241903,,,,,B2
G-F-AZZI--,25241901,,,,,B2
G-F-AZZR--,25241902,,,,,B2
G-F-LCC---,25260200,,,,,
G-F-LCF---,25260100,,,,,
G-F-LCM---,25260600,,,,,C
G-F-LCN---,25260300,,,,,
G-F-LCR---,25260500,,,,,
G-F-LT----,25240701,,,,,
G-F-LTF---,25240703,,,,,
G-F-LTS---,25240702,,,,,
G-F-PCB---,25250100,,,,,
G-F-PCF---,25240900,,,,,
G-F-PCH---,25250200,,,,,
G-F-PCL---,25250300,,,,,
G-F-PCR---,25250400,,,,,
G-F-PCS---,25250500,,,,,
G-F-PTN---,25240602,,,,,
G-F-PTS---,25240601,,,,,
G-G-AAF---,25171900,,,,,
G-G-AAH---,25170900,,,,,
G-G-AAM---,25171600,,,,,
G-G-AAMH--,25171800,,,,,
G-G-AAML--,25171700,,,,,
G-G-AAR---,25171000,,,,,
G-G-AAW---,25172000,,,,,
G-G-ALC---,25170100,,,,,
G-G-ALL---,25170200,,,,,
G-G-ALM---,25170300,,,,,
G-G-ALS---,25170500,,,,,
G-G-ALU---,25170700,,,,,
G-G-APC---,25180200,,,,,
G-G-APD---,25180300,,,,,
G-G-APP---,25180100,,,,,
G-G-APU---,25180400,,,,,
G-G-DAB---,25151200,,,,,
G-G-DABP--,25151202,,,,,
G-G-DAE---,25151300,,,,,
G-G-DLF---,25140400,,,,,
G-G-DLP---,25140500,,,,,
G-G-DPO---,25160100,,,,,
G-G-DPOC--,25160205,,,,,
G-G-DPOF--,25160202,,,,,
G-G-DPON--,25160203,,,,,
G-G-DPOR--,25160201,,,,,
G-G-DPOS--,G-G-DPOS--,,,,TRUE,
G-G-DPT---,25160300,,,,,
G-G-GAA---,25150200,,,,,
G-G-GAD---,25150600,,,,,
